IDADE,FX_ID,SEXO,cor,p1,p2a,p2b,p2c,p2d,p3a,p3b,p3c,p3d,p3e,p3f,p3g,p4,p5,p6,p8,p9a,p9b,p9c,p10,p11,p12,p13,p30pa,p30pb,p30pc,p30pd,p30pe,p30pf,p30pg,p30ph,p30pi,p30pj,p30ma,p30mb,p30mc,p30md,p30me,p30mf,p30mg,p30mh,p30mi,p30mj,p31a,p31b,p31c,p31d,p31e,p31f,p31g,p31h,p31i,p31j,p31l,p32a,p32b,p32c,p32d,p33,p34,p35a,p35b,p35c,p35d,p36a,p36b,p36c,p36d,p36e,p36f,p37a,p37b,p38a,p38b,p39,p40a,p40b,p41,p42,p43a,p43b,p43c,p43d,p43e,p44a,p44b,p44c,p44d,p44e,p44f,p45a,p45b,p45c,p45d,p45e,p46a,p46b,p46c,p47,p48,p48a,p48b,p49a,p49b,p50a,p51a,p52a,p52m,p53aa,p53ab,p53ac,p49ba,p49bb,p50b,p51b,p53ba,p53bb,p53bc,p54a,p54b,p55a,p55b,p56a,p56b,p57a,p57b,p58aa,p58ab,p58ba,p58bb,p59a,p59m,p60,p61a,p61b,p61c,p61d,p61e,p61f,p62,p63,p64a,p64b,p65a,p65b,p66,p66a,p67a,p67b,p67c,p68,p69,p70,p71,p72,p73,p74a,p74b,p74c,p74d,p74e,p74f,p74g,p74h,p74i,p74j,p75a,p75b,p75c,p75d,p75e,p75f,p75g,p75h,p75i,p75j,p75k,p75l,p75m,p75n,p76a,p76b,p76c,p76d,p76e,p76f,p76g,p76h,p76i,p76j,p77a,p77b,p77c,p77d,p77e,p77f,p77g,p77h,p77i,p78,p79,p80,p86,RENDA,RENDAF,nquest
61.0,5.0,1.0,4.0,6.0,98.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,86.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,7.0,1.0,3.0,2.0,1.0,2.0,70.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,31.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,1.0,6.0,5.0,2.0,98.0,2.0,0.0,1.0,1.0,0.0,25.0,12.0,96.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,6.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,94.0,0.0,1.0,0.0,0.0,26.0,23.0,2.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,6.0,12.0,1.0,5500.0,8000.0,1604.0
60.0,5.0,1.0,4.0,2.0,98.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,3.0,0.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,7.0,2.0,2.0,60.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,2.0,1.0,97.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,13.0,30.0,98.0,0.0,0.0,0.0,8.0,9.0,98.0,0.0,0.0,6.0,1.0,5.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,0.0,97.0,98.0,0.0,0.0,0.0,97.0,0.0,97.0,98.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,1.0,1.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,94.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,12.0,1.0,123.0,300.0,1642.0
51.0,4.0,2.0,1.0,18.0,98.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,86.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,2.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,0.0,4.0,999.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,95.0,0.0,0.0,0.0,0.0,3.0,29.0,21.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,9.0,2.0,3.0,3.0,94.0,0.0,1.0,0.0,0.0,999.0,999.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,11.0,4.0,1.0,1.0,1688.0
50.0,4.0,1.0,2.0,6.0,98.0,0.0,0.0,0.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,86.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,80.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,31.0,7.0,0.0,0.0,0.0,0.0,31.0,7.0,0.0,0.0,0.0,6.0,4.0,3.0,1.0,95.0,0.0,0.0,0.0,0.0,2.0,21.0,25.0,96.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,3.0,3.0,94.0,0.0,1.0,0.0,0.0,23.0,22.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,6.0,7.0,1.0,35.0,35.0,1468.0
48.0,4.0,2.0,4.0,13.0,98.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,0.0,97.0,0.0,0.0,0.0,3.0,0.0,86.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,97.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,76.0,60.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,95.0,0.0,0.0,0.0,0.0,1.0,22.0,25.0,96.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,94.0,0.0,1.0,0.0,0.0,25.0,23.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,97.0,97.0,97.0,97.0,1.0,6.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,6.0,11.0,1.0,1.0,540.0,645.0
65.0,5.0,2.0,4.0,14.0,98.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,85.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,60.0,0.0,0.0,0.0,21.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,4.0,998.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,20.0,0.0,0.0,0.0,2.0,0.0,3.0,50.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,94.0,0.0,1.0,0.0,0.0,18.0,22.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,97.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,97.0,1.0,1.0,2.0,1.0,4.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,97.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,97.0,1.0,1.0,2.0,3.0,1.0,97.0,2.0,1.0,1.0,120.0,120.0,1995.0
57.0,4.0,1.0,1.0,21.0,4.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,85.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,60.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,10.0,2.0,8.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,0.0,5.0,2.0,4.0,2.0,95.0,0.0,0.0,0.0,0.0,1.0,37.0,22.0,96.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,5.0,1.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,6.0,12.0,1.0,919.0,919.0,966.0
45.0,4.0,2.0,1.0,6.0,98.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,88.0,84.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,74.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,998.0,0.0,0.0,0.0,0.0,40.0,6.0,0.0,0.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,5.0,1.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,98.0,0.0,0.0,0.0,2.0,0.0,3.0,45.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,94.0,0.0,1.0,4.0,0.0,19.0,44.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,6.0,7.0,4.0,300.0,300.0,1400.0
55.0,4.0,1.0,1.0,28.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,80.0,84.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,61.0,76.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,18.0,2.0,19.0,0.0,0.0,40.0,6.0,30.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,1.0,95.0,0.0,0.0,0.0,0.0,97.0,25.0,31.0,96.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,94.0,0.0,4.0,0.0,0.0,28.0,25.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,1.0,7000.0,14000.0,38.0
64.0,5.0,2.0,4.0,11.0,98.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,84.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,76.0,64.0,60.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,97.0,97.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,26.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,7.0,40.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,95.0,0.0,0.0,0.0,0.0,3.0,19.0,31.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,94.0,0.0,4.0,0.0,0.0,20.0,47.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,97.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,170.0,490.0,1968.0
55.0,4.0,1.0,4.0,18.0,98.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,84.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,64.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,1.0,1.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,6.0,5.0,4.0,1.0,95.0,0.0,0.0,0.0,0.0,1.0,30.0,25.0,2.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,3.0,94.0,0.0,7.0,0.0,0.0,32.0,30.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,3800.0,5000.0,482.0
48.0,4.0,2.0,1.0,13.0,98.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,84.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,83.0,80.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,30.0,7.0,5.0,0.0,0.0,0.0,36.0,7.0,5.0,0.0,0.0,5.0,6.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,21.0,20.0,0.0,0.0,0.0,1.0,0.0,3.0,50.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,4.0,96.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,94.0,0.0,15.0,0.0,0.0,22.0,23.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,1.0,170.0,170.0,795.0
44.0,3.0,2.0,4.0,5.0,98.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,84.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,1.0,2.0,6.0,2.0,4.0,4.0,5.0,5.0,3.0,2.0,1.0,1.0,1.0,6.0,2.0,2.0,69.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,13.0,2.0,6.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,6.0,1.0,5.0,2.0,95.0,0.0,0.0,0.0,0.0,1.0,15.0,28.0,96.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,94.0,0.0,2.0,0.0,0.0,15.0,18.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,6.0,11.0,1.0,1.0,1.0,1281.0
40.0,3.0,1.0,1.0,12.0,10.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,84.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,70.0,98.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,1.0,13.0,2.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,1.0,95.0,0.0,0.0,0.0,0.0,4.0,33.0,7.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,94.0,0.0,4.0,0.0,0.0,34.0,27.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,5.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,7.0,1.0,700.0,600.0,1934.0
44.0,3.0,1.0,1.0,5.0,98.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,87.0,83.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,76.0,84.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,16.0,13.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,40.0,0.0,0.0,0.0,1.0,5.0,6.0,1.0,95.0,0.0,0.0,0.0,0.0,1.0,22.0,22.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,94.0,0.0,1.0,0.0,0.0,25.0,21.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,830.0,830.0,1217.0
