escol_z;wave;year;year_dummy
-0.9574622764689527;wave-2-1991-br;1991;1991
-1.96830619824519;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-1.96830619824519;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-1.96830619824519;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-1.96830619824519;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-1.96830619824519;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-1.96830619824519;wave-2-1991-br;1991;1991
2.075069488859759;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
-0.9574622764689527;wave-2-1991-br;1991;1991
0.05338164530728454;wave-2-1991-br;1991;1991
