wave,year,saliencia,religiosidade_individual,frequencia,organizacao,saliencia_original,religiosidade_individual_original,frequencia_original,organizacao_original,indice_religiosidade,id_original
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,,0.0,1.0,3.0,,1.0,2.0,0.6666666666666666,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,,0.0,1.0,2.0,,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,1.0,,1.0,2.0,2.0,,2.0,0.8333333333333334,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,,0.0,1.0,3.0,,1.0,2.0,0.6666666666666666,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.75,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,,0.0,1.0,3.0,,1.0,2.0,0.6666666666666666,
wave-2-1991-br,2,0.5,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.625,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.125,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,,0.0,1.0,3.0,,1.0,2.0,0.6666666666666666,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,,0.0,0.0,2.0,,1.0,1.0,0.16666666666666666,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,,0.0,1.0,2.0,,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,,0.0,1.0,2.0,,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,,0.0,1.0,2.0,,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,,0.0,1.0,2.0,,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,,0.0,0.0,1.0,,1.0,1.0,2.0,0.3333333333333333,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.625,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,0.0,3.0,2.0,1.0,1.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,,0.0,0.0,3.0,,1.0,1.0,0.3333333333333333,
wave-2-1991-br,2,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.75,
wave-2-1991-br,2,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.375,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,0.5,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.875,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.5,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.625,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,0.75,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,,0.0,0.0,1.0,,1.0,1.0,2.0,0.3333333333333333,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
wave-2-1991-br,2,0.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,0.5,
wave-2-1991-br,2,1.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.5,
wave-2-1991-br,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.25,
